condition,n_nodes,cx_mean,cx_max,max_leaf_cx_max,all_seeds_met_threshold,unsafe_rate_mean,mean_feasible_mass_mean
short_log,10,93.3,132,132,True,0.0,1.0
short_log,30,66.7,140,124,True,0.0,1.0
short_log,60,124,184,168,True,0.0,1.0
short_log,100,109.3,160,124,True,0.0,1.0
short_log,150,97.3,124,88,True,0.0,1.0
long_log,10,14.7,16,12,True,0.0,1.0
long_log,30,124,312,304,True,0.0,1.0
long_log,60,334.7,348,328,True,0.0,1.0
long_log,100,248.7,376,314,True,0.0,1.0
long_log,150,401.3,500,332,True,0.0,1.0
