condition,n_nodes,seed,k_ties,n_qubits,num_spanning_trees,term_count,max_witness_size,dropped_candidates,fully_connected,cx_count,total_gate_count,depth,measurement_seconds
fixed,8,0,3,10,24,6,1,0,True,132,414,274,0.0284
fixed,8,1,3,10,24,6,1,0,True,132,412,274,0.0080
fixed,8,2,3,10,16,5,2,0,True,528,1519,1082,0.0188
log,8,0,3,10,24,6,1,0,True,132,414,274,0.0067
log,8,1,3,10,24,6,1,0,True,132,412,274,0.0066
log,8,2,3,10,16,5,2,0,True,528,1519,1082,0.0196
fixed,9,0,3,11,24,6,1,0,True,132,414,274,0.0071
fixed,9,1,3,11,24,6,1,0,True,132,412,270,0.0066
fixed,9,2,3,11,16,5,2,0,True,528,1519,1082,0.0176
log,9,0,3,11,24,6,1,0,True,132,414,274,0.0072
log,9,1,3,11,24,6,1,0,True,132,412,270,0.0075
log,9,2,3,11,16,5,2,0,True,528,1519,1082,0.0179
fixed,10,0,3,12,24,6,1,0,True,132,414,274,0.0068
fixed,10,1,3,12,16,5,2,0,True,528,1519,1082,0.0180
fixed,10,2,3,12,24,6,1,0,True,132,413,271,0.0067
log,10,0,3,12,24,6,1,0,True,132,414,274,0.0071
log,10,1,3,12,16,5,2,0,True,528,1519,1082,0.0186
log,10,2,3,12,24,6,1,0,True,132,413,271,0.0068
fixed,11,0,3,13,24,6,1,0,True,132,414,274,0.0068
fixed,11,1,3,13,16,5,2,0,True,528,1519,1082,0.0182
fixed,11,2,3,13,16,5,2,0,True,528,1519,1082,0.0371
log,11,0,3,13,24,6,1,0,True,132,414,274,0.0069
log,11,1,3,13,16,5,2,0,True,528,1519,1082,0.0184
log,11,2,3,13,16,5,2,0,True,528,1519,1082,0.0186
fixed,12,0,3,14,24,6,1,0,True,168,518,343,0.0079
fixed,12,1,3,14,16,5,2,0,True,528,1519,1082,0.0187
fixed,12,2,3,14,16,5,2,0,True,528,1519,1082,0.0190
log,12,0,4,15,48,7,2,0,True,536,1554,1082,0.0213
log,12,1,4,15,48,7,2,0,True,536,1554,1082,0.0217
log,12,2,4,15,40,7,4,0,True,3564,10039,7070,0.1164
fixed,13,0,3,15,27,6,0,0,True,24,105,23,0.0041
fixed,13,1,3,15,16,5,2,0,True,528,1519,1082,0.0204
fixed,13,2,3,15,16,5,2,0,True,528,1519,1082,0.0196
log,13,0,4,16,81,8,0,0,True,32,140,23,0.0057
log,13,1,4,16,48,7,2,0,True,536,1554,1082,0.0215
log,13,2,4,16,40,7,4,0,True,3564,10039,7070,0.1289
fixed,14,0,3,16,27,6,0,0,True,24,105,23,0.0046
fixed,14,1,3,16,16,5,2,0,True,528,1519,1082,0.0198
fixed,14,2,3,16,21,6,2,0,True,576,1606,1116,0.0389
log,14,0,4,17,81,8,0,0,True,32,140,23,0.0068
log,14,1,4,17,48,7,2,0,True,536,1554,1082,0.0224
log,14,2,4,17,55,8,3,0,True,922,2560,1789,0.0404
fixed,15,0,3,17,24,6,1,0,True,132,413,271,0.0080
fixed,15,1,3,17,16,5,2,0,True,528,1519,1082,0.0205
fixed,15,2,3,17,21,6,2,0,True,576,1606,1116,0.0215
log,15,0,4,18,72,8,1,0,True,140,448,271,0.0121
log,15,1,4,18,48,7,2,0,True,536,1554,1082,0.0238
log,15,2,4,18,55,8,3,0,True,922,2560,1789,0.0448
fixed,16,0,3,18,27,6,0,0,True,24,105,23,0.0047
fixed,16,1,3,18,16,5,2,0,True,528,1519,1082,0.0210
fixed,16,2,3,18,21,6,2,0,True,576,1606,1116,0.0208
log,16,0,4,19,72,8,1,0,True,140,447,274,0.0126
log,16,1,4,19,48,7,2,0,True,536,1554,1082,0.0253
log,16,2,4,19,55,8,3,0,True,922,2560,1789,0.0480
fixed,17,0,3,19,27,6,0,0,True,24,105,23,0.0047
fixed,17,1,3,19,16,5,2,0,True,528,1519,1082,0.0220
fixed,17,2,3,19,21,6,2,0,True,576,1606,1116,0.0210
log,17,0,4,20,72,8,1,0,True,140,447,274,0.0142
log,17,1,4,20,48,7,2,0,True,536,1554,1082,0.0288
log,17,2,4,20,55,8,3,0,True,922,2560,1789,0.0520
fixed,18,0,3,20,24,6,1,0,True,168,518,343,0.0099
fixed,18,1,3,20,24,6,1,0,True,132,412,270,0.0086
fixed,18,2,3,20,21,6,2,0,True,576,1606,1116,0.0221
log,18,0,4,21,48,7,2,0,True,536,1554,1082,0.0517
log,18,1,4,21,64,8,1,0,True,248,754,274,0.0207
log,18,2,4,21,55,8,3,0,True,922,2560,1789,0.0566
fixed,19,0,3,21,24,6,1,0,True,168,518,343,0.0104
fixed,19,1,3,21,24,6,1,0,True,132,412,270,0.0089
fixed,19,2,3,21,16,5,2,0,True,528,1519,1082,0.0241
log,19,0,4,22,48,7,2,0,True,536,1554,1082,0.0331
log,19,1,4,22,64,8,1,0,True,248,754,274,0.0225
log,19,2,4,22,40,7,4,0,True,2460,6874,4877,0.2983
fixed,20,0,3,22,24,6,1,0,True,168,518,343,0.0120
fixed,20,1,3,22,27,6,0,0,True,24,105,23,0.0064
fixed,20,2,3,22,16,5,2,0,True,528,1519,1082,0.0260
log,20,0,4,23,48,7,2,0,True,536,1554,1082,0.0370
log,20,1,4,23,72,8,1,0,True,140,447,270,0.0217
log,20,2,4,23,40,7,4,0,True,2460,6874,4877,0.3494
fixed,21,0,3,23,24,6,1,0,True,132,414,274,0.0114
fixed,21,1,3,23,27,6,0,0,True,24,105,23,0.0073
fixed,21,2,3,23,16,5,2,0,True,528,1519,1082,0.0262
log,21,0,4,24,48,7,2,0,True,536,1554,1082,0.0401
log,21,1,4,24,63,8,2,0,True,404,1136,752,0.0353
log,21,2,4,24,40,7,4,0,True,2460,6874,4877,0.4189
fixed,22,0,3,24,20,6,2,0,True,460,1260,864,0.0204
fixed,22,1,3,24,27,6,0,0,True,24,105,23,0.0075
fixed,22,2,3,24,16,5,2,0,True,528,1519,1082,0.0271
log,22,0,4,25,52,8,3,0,True,1196,3294,2306,0.0824
log,22,1,4,25,63,8,2,0,True,404,1136,752,0.0412
log,22,2,4,25,40,7,4,0,True,2460,6874,4877,0.4588
fixed,23,0,3,25,20,6,2,0,True,460,1260,864,0.0216
fixed,23,1,3,25,27,6,0,0,True,24,105,23,0.0091
fixed,23,2,3,25,16,5,2,0,True,528,1519,1082,0.0284
log,23,0,4,26,52,8,3,0,True,1196,3294,2306,0.0895
log,23,1,4,26,81,8,0,0,True,32,140,23,0.0290
log,23,2,4,26,40,7,4,0,True,2460,6874,4877,0.5254
fixed,24,0,3,26,20,6,2,0,True,460,1260,864,0.0223
fixed,24,1,3,26,27,6,0,0,True,24,105,23,0.0093
fixed,24,2,3,26,16,5,2,0,True,528,1519,1082,0.0286
log,24,0,5,28,156,10,3,0,True,1204,3329,2306,0.2539
log,24,1,5,28,189,10,2,0,True,412,1171,752,0.1943
log,24,2,5,28,100,9,4,6,True,2188,6058,4074,1.6001
fixed,25,0,3,27,20,6,2,0,True,460,1260,864,0.0232
fixed,25,1,3,27,27,6,0,0,True,24,105,23,0.0097
fixed,25,2,3,27,24,6,1,0,True,132,414,273,0.0122
log,25,0,5,29,156,10,3,0,True,1204,3329,2306,0.2964
log,25,1,5,29,243,10,0,0,True,40,175,23,0.1864
log,25,2,5,29,120,9,4,0,True,2468,6909,4877,0.9383
fixed,26,0,3,28,20,6,2,0,True,460,1260,864,0.0237
fixed,26,1,3,28,24,6,1,0,True,132,412,270,0.0155
fixed,26,2,3,28,24,6,1,0,True,132,414,273,0.0130
log,26,0,5,30,156,10,3,0,True,1204,3329,2306,0.3497
log,26,1,5,30,144,9,2,0,True,544,1589,1082,0.3036
log,26,2,5,30,144,9,2,0,True,544,1589,1082,0.2474
fixed,27,0,3,29,24,6,1,0,True,132,413,271,0.0153
fixed,27,1,3,29,24,6,1,0,True,132,412,270,0.0174
fixed,27,2,3,29,24,6,1,0,True,132,414,273,0.0136
log,27,0,5,31,156,10,3,0,True,1204,3329,2306,0.3521
log,27,1,5,31,144,9,2,0,True,544,1589,1082,0.3692
log,27,2,5,31,144,9,2,0,True,544,1589,1082,0.2927
fixed,28,0,3,30,24,6,1,0,True,132,413,271,0.0148
fixed,28,1,3,30,24,6,1,0,True,132,412,270,0.0173
fixed,28,2,3,30,24,6,1,0,True,132,414,273,0.0145
log,28,0,5,32,156,10,3,0,True,1204,3329,2306,0.4086
log,28,1,5,32,144,9,2,0,True,544,1589,1082,0.4094
log,28,2,5,32,144,9,2,0,True,544,1589,1082,0.3446
fixed,29,0,3,31,24,6,1,0,True,132,413,271,0.0156
fixed,29,1,3,31,24,6,1,0,True,132,412,270,0.0188
fixed,29,2,3,31,24,6,1,0,True,132,414,273,0.0158
log,29,0,5,33,156,10,3,0,True,1204,3329,2306,0.4592
log,29,1,5,33,144,9,2,0,True,544,1589,1082,0.4584
log,29,2,5,33,144,9,2,0,True,544,1589,1082,0.3969
fixed,30,0,3,32,24,6,1,0,True,132,413,271,0.0170
fixed,30,1,3,32,27,6,0,0,True,24,105,23,0.0162
fixed,30,2,3,32,24,6,1,0,True,132,414,273,0.0162
log,30,0,5,34,156,10,3,0,True,1204,3329,2306,0.5421
log,30,1,5,34,192,10,1,0,True,256,790,271,0.4915
log,30,2,5,34,144,9,2,0,True,544,1589,1082,0.4641
fixed,31,0,3,33,24,6,1,0,True,132,413,271,0.0180
fixed,31,1,3,33,27,6,0,0,True,24,105,23,0.0178
fixed,31,2,3,33,24,6,1,0,True,132,414,273,0.0192
log,31,0,5,35,156,10,3,0,True,1204,3329,2306,0.6399
log,31,1,5,35,192,10,1,0,True,256,790,271,0.5659
log,31,2,5,35,144,9,2,0,True,544,1589,1082,0.5436
fixed,32,0,3,34,24,6,1,0,True,132,413,271,0.0184
fixed,32,1,3,34,24,6,1,0,True,132,412,270,0.0220
fixed,32,2,3,34,24,6,1,0,True,132,414,273,0.0185
log,32,0,5,36,156,10,3,0,True,1204,3329,2306,0.7205
log,32,1,5,36,144,9,2,0,True,544,1589,1082,0.9105
log,32,2,5,36,144,9,2,0,True,544,1589,1082,0.6494
fixed,33,0,3,35,24,6,1,0,True,132,413,271,0.0194
fixed,33,1,3,35,24,6,1,0,True,132,412,270,0.0240
fixed,33,2,3,35,24,6,1,0,True,132,414,273,0.0195
log,33,0,5,37,156,10,3,0,True,1204,3329,2306,0.8057
log,33,1,5,37,144,9,2,0,True,544,1589,1082,1.0585
log,33,2,5,37,144,9,2,0,True,544,1589,1082,0.7469
fixed,34,0,3,36,24,6,1,0,True,132,413,271,0.0200
fixed,34,1,3,36,24,6,1,0,True,132,412,270,0.0257
fixed,34,2,3,36,24,6,1,0,True,132,414,273,0.0221
log,34,0,5,38,156,10,3,0,True,1204,3329,2306,0.8990
log,34,1,5,38,144,9,2,0,True,544,1589,1082,1.2328
log,34,2,5,38,144,9,2,0,True,544,1589,1082,0.9149
fixed,35,0,3,37,24,6,1,0,True,132,413,271,0.0217
fixed,35,1,3,37,24,6,1,0,True,132,412,270,0.0277
fixed,35,2,3,37,16,5,2,0,True,528,1519,1082,0.0640
log,35,0,5,39,180,10,2,0,True,476,1330,864,0.9495
log,35,1,5,39,144,9,2,0,True,544,1589,1082,1.4103
log,35,2,5,39,120,9,4,0,True,3126,8673,6068,2.4086
fixed,36,0,3,38,24,6,1,0,True,132,413,271,0.0235
fixed,36,1,3,38,24,6,1,0,True,132,412,270,0.0287
fixed,36,2,3,38,16,5,2,0,True,528,1519,1082,0.0442
log,36,0,5,40,180,10,2,0,True,476,1330,864,1.1099
log,36,1,5,40,144,9,2,0,True,544,1589,1082,1.5730
log,36,2,5,40,120,9,4,0,True,3126,8673,6068,2.4840
fixed,37,0,3,39,24,6,1,0,True,132,413,271,0.0245
fixed,37,1,3,39,24,6,1,0,True,132,412,270,0.0364
fixed,37,2,3,39,16,5,2,0,True,528,1519,1082,0.0475
log,37,0,5,41,180,10,2,0,True,476,1330,864,1.2469
log,37,1,5,41,192,10,1,0,True,256,789,270,1.8127
log,37,2,5,41,120,9,4,0,True,3126,8673,6068,2.9266
